ingresos_mensuales,edad,deudas_totales,numero_tarjetas,historial_crediticio,tasa_de_interes,mora_actual,moroso
1200,35,5000,2,Bueno,12.5,0,0
800,29,2000,1,Malo,20.0,1,1
1500,40,3000,3,Regular,15.0,0,0
1560,39,5130,2,Bueno,13.486584841970366,0,1
758,22,1871,1,Malo,21.50888472948853,0,1
891,25,4459,2,Bueno,12.747564316322379,1,0
866,30,5265,2,Bueno,8.653628661650586,1,0
946,27,1166,1,Malo,24.488855372533333,1,1
1151,43,5085,1,Bueno,14.586551419796574,1,0
755,29,6060,2,Bueno,3.9667615862061716,1,1
982,27,2643,1,Malo,21.905806053379326,1,1
798,35,1391,0,Malo,22.901755405312056,0,0
1502,34,2098,3,Regular,16.375574713552133,0,0
1223,29,5156,1,Bueno,5.670820685004548,1,0
1229,33,4568,2,Bueno,17.04454083974811,0,1
1257,38,1972,0,Malo,18.04781258158029,1,1
1225,42,4859,2,Bueno,19.007583568145993,0,0
781,34,4297,2,Bueno,17.57347173046139,0,1
1465,26,1757,3,Regular,18.15121833197496,0,1
625,32,2659,1,Malo,22.20231183693939,1,0
1144,37,3962,2,Bueno,19.81444978251054,1,1
825,38,4734,1,Bueno,6.158246847706428,1,1
696,38,4183,1,Bueno,9.741117585085249,1,0
666,40,4424,1,Bueno,13.939685044881678,1,1
447,28,2586,1,Malo,24.734890336085112,1,0
728,26,3156,0,Malo,18.011041503111368,0,0
1153,42,5087,2,Bueno,10.239887540863752,1,1
1054,26,4148,1,Bueno,14.18044650074591,0,0
1061,45,3578,1,Bueno,15.996098058727103,0,1
826,32,3209,1,Bueno,17.445021161823327,1,0
1936,37,2344,3,Regular,15.790879727285903,0,0
382,42,4579,1,Bueno,12.702280900190836,0,0
901,37,4740,2,Bueno,17.321551930611108,0,1
1140,43,4964,1,Bueno,16.43361913933297,0,1
1535,45,4838,1,Bueno,15.985692336670084,0,0
1020,28,1494,0,Malo,16.796711492621917,0,0
1530,29,1176,0,Malo,19.381821124747546,1,0
351,25,3489,1,Bueno,19.92761806565991,0,1
1584,48,4154,2,Bueno,12.037627874763412,0,0
517,47,4938,0,Bueno,13.396188844025051,1,1
363,29,4802,0,Bueno,6.129365319505452,0,0
891,38,5925,2,Bueno,9.051439280796917,0,0
1009,42,3553,0,Bueno,15.351161373734652,0,1
1493,45,5495,1,Bueno,15.662788671818891,1,1
1232,35,1532,-1,Malo,19.001662754780725,0,1
281,30,3408,-1,Malo,21.8856463282464,1,0
1868,43,2627,3,Regular,19.17316246143244,0,1
1549,29,4473,1,Bueno,20.425610471531066,0,1
928,46,2473,0,Malo,18.950119250271158,0,0
1314,41,5549,1,Bueno,11.14697249457306,1,1
127,34,2824,1,Malo,20.07470175348021,1,1
1451,44,2996,1,Bueno,15.907961467413369,0,1
267,17,2195,-1,Malo,21.655970306184855,0,1
987,37,2911,1,Bueno,18.616502552823267,1,0
1314,36,1963,0,Malo,22.231007396020033,0,0
1315,39,3598,0,Bueno,18.445226643016362,1,0
575,31,2212,0,Malo,24.657135866953652,0,0
1939,43,4914,1,Bueno,17.915365275970256,1,1
454,28,5430,0,Bueno,7.8232693340990656,0,0
838,25,2950,0,Malo,27.043185084793876,0,1
696,20,5632,2,Bueno,9.098519641259081,0,0
577,37,5608,0,Bueno,10.473725587560594,1,0
864,36,2494,1,Bueno,17.150716345850448,1,0
2111,29,1416,3,Regular,14.46044051933391,1,0
565,22,2048,1,Malo,24.784825936301978,1,0
555,32,987,1,Malo,21.23724164513746,0,0
643,22,6081,-1,Bueno,7.321115822312291,0,0
1354,34,4739,0,Bueno,15.934863463530565,0,0
22,34,5113,0,Bueno,7.694151392820479,0,1
1839,33,551,3,Regular,15.040863770823579,1,0
586,54,3313,-1,Malo,14.72070204161447,1,1
1135,33,1596,0,Malo,24.00400690008847,1,0
177,15,3081,1,Bueno,16.075306784352087,1,1
438,25,4996,-1,Bueno,6.782974060723614,1,1
796,18,1474,-1,Malo,13.216431390231856,0,0
490,30,2784,1,Malo,19.96489149230652,0,1
327,34,3530,1,Bueno,7.082962053240106,1,0
623,30,4860,-1,Bueno,3.2288567095458793,1,1
899,24,2615,-1,Malo,24.91526185568689,1,1
1951,32,798,3,Regular,11.810812667372161,0,0
1242,32,2724,0,Malo,22.340297625893065,1,1
152,28,4627,-1,Bueno,4.4446541858789885,1,0
1276,43,4777,1,Bueno,6.400114354345444,0,1
2127,27,1613,3,Regular,7.0040889765481715,1,1
15,15,2541,0,Bueno,16.34795859350465,1,0
2334,37,1180,2,Regular,14.623210274751917,0,0
825,29,2284,1,Bueno,21.039590585886746,1,1
1477,39,3703,0,Bueno,16.134642700794778,0,0
981,37,5391,1,Bueno,15.799475910292676,0,0
583,25,3297,0,Bueno,13.504079205860904,1,0
1828,43,5794,0,Bueno,15.603900419792192,1,0
879,30,1295,0,Malo,22.973695819886537,0,1
829,32,359,1,Malo,19.908709661629217,1,1
1060,35,1667,1,Bueno,22.963179810497326,0,0
548,48,4106,1,Bueno,16.013655045210953,0,0
519,36,1233,0,Malo,22.42715729212334,0,0
591,26,4910,2,Bueno,16.129868527140385,0,0
661,26,3030,0,Malo,18.13981420543529,1,1
2017,42,5010,1,Bueno,19.390529924403886,1,1
1749,32,1358,2,Regular,13.998101750728027,0,1
1010,37,5120,1,Bueno,14.39168767061855,0,0
715,29,2945,0,Malo,20.949531542013155,1,0
1015,41,5887,2,Bueno,13.948612228149798,0,0
968,34,6595,2,Bueno,16.217000538632174,0,1
1034,50,3276,0,Bueno,17.750672380632516,0,1
816,36,3375,0,Bueno,18.869086740639098,1,1
1828,39,1577,1,Regular,14.033571565846888,1,1
774,35,2730,-1,Malo,22.879243578668053,1,1
1353,48,3886,1,Bueno,15.835095228020352,1,1
150,35,5217,0,Bueno,3.3679298077674416,0,1
298,23,1583,-1,Malo,20.711149640918276,1,1
237,30,1276,-2,Malo,23.102063860847807,0,0
580,28,3771,-2,Malo,18.4433789340481,0,1
1866,34,4590,1,Bueno,22.572567223888406,0,0
1783,51,5772,1,Bueno,16.169393264184535,1,1
751,31,1436,-2,Malo,21.24862529739897,1,1
1182,57,3730,0,Bueno,12.147974948068594,1,0
1729,40,1477,3,Regular,17.19627602479437,0,0
1422,52,3086,3,Regular,15.04283266399177,0,1
658,47,2956,-1,Bueno,10.867734944881061,1,0
1298,39,3893,1,Bueno,6.868926092219773,1,1
1947,42,4494,0,Bueno,17.18431255420328,1,1
442,40,1788,-1,Malo,22.798756505323375,0,0
660,26,5349,1,Bueno,15.368860520825624,1,1
1954,33,1247,2,Regular,14.878785894437058,1,1
683,28,5669,1,Bueno,10.615560066230495,1,1
546,31,3845,0,Malo,24.511067761959758,1,1
1657,58,4019,3,Regular,12.386533570770526,1,1
765,58,3287,-2,Malo,16.10742840281852,1,0
657,46,3481,0,Bueno,14.908001845987686,0,0
700,48,4986,0,Bueno,13.480219513658732,0,0
943,62,3953,0,Bueno,16.653010563959942,1,0
2115,39,4221,1,Bueno,21.334861007500315,1,1
148,7,3010,-1,Malo,25.389079038762137,0,1
1053,43,3859,-1,Bueno,21.45092163583417,1,1
585,24,4371,0,Bueno,14.297251285639648,1,1
635,39,2481,-1,Malo,29.346814487776648,1,0
171,50,2212,-1,Bueno,14.975977148185022,1,0
1886,59,5868,1,Bueno,11.689054245496337,1,0
1539,30,2673,-1,Malo,21.09337134901093,1,1
1018,40,1578,0,Bueno,24.705049298793465,1,1
866,51,3535,-1,Bueno,15.733690938135798,0,0
1928,33,2118,1,Regular,16.933752413783296,1,0
2017,42,4992,0,Bueno,16.284448591852147,0,0
1559,39,1595,-2,Malo,18.89382524166163,0,1
596,22,2459,-2,Malo,19.408331365496082,0,1
1040,38,5271,1,Bueno,2.326287925045948,1,0
993,39,6544,1,Bueno,11.397602736231779,1,1
759,22,1210,-3,Malo,25.22658336131923,0,1
384,36,2645,-1,Malo,18.79548948737234,1,0
647,28,2724,1,Malo,21.891090814868242,1,1
62,51,4453,0,Bueno,13.122614351162856,1,1
392,27,2437,1,Malo,22.448290938922582,0,1
1208,67,3556,2,Regular,13.975087613038948,0,0
1083,39,4501,1,Bueno,-1.2732639536117616,0,1
1407,23,1188,3,Regular,13.710442088993531,0,0
94,37,4347,-2,Bueno,4.795859262613037,1,0
80,37,2492,1,Malo,24.697085130984355,0,1
199,41,1307,0,Malo,23.03528070989851,1,0
1517,33,4636,0,Bueno,10.671443825036645,0,1
1599,42,1832,-1,Malo,18.763969001173905,1,1
1538,28,1653,0,Malo,22.460822547078358,0,0
700,30,4489,2,Bueno,15.13507674557859,1,0
1668,46,4067,1,Bueno,4.904027341000888,0,1
1052,18,5411,1,Bueno,16.79632098157842,0,1
1088,26,6297,1,Bueno,4.155656902716986,0,0
-88,38,1941,0,Malo,29.479779990974237,1,0
1003,49,4109,2,Bueno,11.145784118249601,1,1
406,21,5585,1,Bueno,11.793972730867713,0,1
767,27,4042,-2,Malo,20.4892392553816,0,0
308,23,4085,1,Bueno,23.12095558864852,0,0
1549,56,5117,2,Bueno,8.101511928904186,0,1
1126,26,1553,3,Regular,11.256710755522485,1,1
926,19,1561,3,Regular,8.778662369801667,0,1
78,46,2458,-2,Malo,21.900394197629748,1,1
1137,25,2273,-1,Malo,21.8950325534636,1,0
397,25,2977,-1,Malo,20.587874971513678,1,0
858,13,2312,1,Malo,18.49244941198186,1,1
1806,35,2171,3,Regular,12.238635466387716,1,1
1778,26,336,2,Regular,16.92264667961082,1,1
672,27,4303,-1,Malo,23.554192074157346,1,1
1161,17,3415,0,Malo,23.49203114301027,0,1
1563,29,3968,0,Bueno,10.692891439883411,1,0
1935,38,5231,1,Bueno,16.567188685063268,0,0
2253,44,6167,0,Bueno,20.925198445609475,1,1
991,22,3711,0,Malo,25.67665741944232,1,0
832,49,6503,1,Bueno,14.565334299145373,1,0
1703,32,6427,0,Bueno,12.944378073136768,0,0
734,25,5388,0,Bueno,6.571879092261191,1,0
1027,33,2789,0,Malo,22.59212373034127,0,1
1396,39,5571,1,Bueno,16.24371222773747,0,0
638,38,4917,0,Bueno,18.114433090819112,1,0
1911,22,515,2,Regular,19.001977790525686,0,0
1513,61,4953,1,Bueno,9.781615350229192,0,1
1335,30,3322,1,Bueno,4.628151622900804,0,0
1318,59,4478,-1,Bueno,12.428892541430422,1,1
1636,37,1036,-1,Malo,20.00526506514734,1,1
1034,25,6317,1,Bueno,3.1571524417754375,1,1
1212,35,1482,-2,Malo,23.076954527135022,0,1
917,32,3839,2,Bueno,23.724955951815886,0,1
1209,26,1082,-1,Malo,19.233668943199994,1,1
1290,38,4247,0,Bueno,0.1811543782232028,0,0
977,41,6358,0,Bueno,11.069875011105932,0,0
440,26,5913,2,Bueno,7.3504964890214515,1,0
1584,46,4700,1,Bueno,16.071471555357235,1,0
846,23,2456,0,Malo,24.623027031586698,0,1
1620,32,1775,3,Regular,13.727756861431942,1,0
483,21,4821,0,Bueno,7.724557947465032,0,1
1307,50,5809,1,Bueno,10.909392297251854,1,1
1154,16,953,-1,Malo,17.224979690003135,0,0
2296,36,1038,2,Regular,4.700567592944288,0,1
1550,21,1572,-2,Malo,22.652421878390406,1,1
1453,29,4496,-1,Malo,27.109900556200202,0,1
2018,27,-16,1,Regular,12.044522189728246,0,1
-253,39,2541,0,Malo,15.150112680640195,1,1
683,34,2411,-1,Malo,30.31137555084948,1,1
1356,42,2528,-2,Malo,18.326462758999998,1,1
368,31,1484,-2,Malo,34.77769301050286,1,0
728,20,2199,-2,Malo,20.78162623139506,1,0
1952,41,1385,1,Regular,17.886859932217796,1,1
151,26,1563,-3,Malo,20.01580214423373,0,0
1315,18,3358,-2,Malo,25.65443629528268,1,1
239,30,1550,-1,Malo,25.30548917397831,1,1
2212,35,1669,1,Regular,18.799561693996175,0,1
1921,38,1247,2,Regular,18.50062131480171,0,0
1502,40,5852,1,Bueno,11.681822030416338,0,1
896,49,5230,-1,Bueno,11.817259922271731,0,0
760,17,5724,0,Bueno,3.8032013319074567,0,1
2047,37,1319,1,Regular,10.8617540600332,1,1
1270,40,7202,1,Bueno,16.475211101363374,1,1
676,22,3400,2,Bueno,25.55968189615185,1,1
729,32,1919,1,Malo,20.138801489727438,1,1
